time,Boiler 1 MBtu,Boiler 2 MBtu,Total Boiler NG Consumption (MBtu),Pump 4a kW (Correlated),Pump 4b kW (Correlated),Heating System kW,AHU 19 Total kW (Correlated),HRU Total kW (Correlated),Pump 1a kW (Formula Based),Pump 1b kW (Formula Based),Pump 2a kW (Correlated),Pump 2b kW (Correlated),Pump 3a kW (Formula Based),Pump 3b kW (Formula Based),Tower Fan 1 kW (Correlated),Tower Fan 2 kW (Correlated),Chiller kW,Total CHW kW
2024-08-31 20:00:00-04:00,62.17160212604404,0.0,62.17160212604404,1.2219964643646828,0.0710390915890756,1.2930355559537583,1.3069463892610726,4.057333263013373,14.913997439999997,0.0,1.8772527653308413,0.008572201074176,5.59274904,0.0,,,177.63333638509116,200.02590783149617
2024-08-31 20:15:00-04:00,0.0,0.0,0.0,1.3806297216206593,0.0710390915890756,1.4516688132097348,1.3069463892610726,4.057333263013373,14.913997439999997,0.0,1.9471127041028073,0.008572201074176,5.59274904,0.0,,,178.3999989827474,200.8624303679244
2024-08-31 20:30:00-04:00,0.0,0.0,0.0,1.034965956953519,0.0710390915890756,1.1060050485425945,1.3069463892610726,4.057333263013373,14.913997439999997,0.0,1.9400493870096363,0.008572201074176,5.59274904,0.0,,,175.3000030517578,197.7553711198416
2024-08-31 20:45:00-04:00,0.0,0.0,0.0,0.9118732744443981,0.0710390915890756,0.9829123660334738,1.3069463892610726,4.057333263013373,14.913997439999997,0.0,1.9230193400995874,0.008572201074176,5.59274904,0.0,,,64.06666564941406,86.50500367058783
2024-08-31 21:00:00-04:00,0.0,0.0,0.0,0.3209641057291962,0.0710390915890756,0.3920031973182718,1.3035577375102847,1.7990227345883545,14.913997439999997,0.0,1.9090677192517564,0.008572201074176,5.59274904,0.0,,,114.36666870117188,136.79105510149782
2024-08-31 21:15:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.0507596909488517,0.008572201074176,5.59274904,0.0,,,6.266666730244954,28.832745102267978
2024-08-31 21:30:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.0813678570478307,0.008572201074176,5.59274904,0.0,,,116.86666870117188,139.4633552392939
2024-08-31 21:45:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,1.9837015036776957,0.008572201074176,5.59274904,0.0,,,63.76666768391927,86.26568786867114
2024-08-31 22:00:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.0459395132800307,0.008572201074176,5.59274904,0.0,,,6.266666730244954,28.82792492459916
2024-08-31 22:15:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.0884154169054283,0.008572201074176,5.59274904,0.0,,,111.83333333333333,134.43706743131293
2024-08-31 22:30:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.003624336183527,0.008572201074176,5.59274904,0.0,,,63.76666768391927,86.28561070117698
2024-08-31 22:45:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.084263963271373,0.008572201074176,5.59274904,0.0,,,6.1333333651224775,28.732916009468024
2024-08-31 23:00:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,2.041370288129914,0.008572201074176,5.59274904,0.0,,,175.0,197.5566889692041
2024-08-31 23:15:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,1.3018634116348913,0.6698674703758454,14.913997439999997,0.0,1.9840308978426595,0.008572201074176,5.59274904,0.0,,,6.0,28.499349578916835
2024-08-31 23:30:00-04:00,0.0,0.0,0.0,0.2818332046375528,0.0710390915890756,0.3528722962266284,0.4516692367902114,0.6698674703758454,14.913997439999997,0.0,1.9803771347723444,0.008572201074176,5.59274904,0.0,,,6.1333333651224775,28.629029180969
2024-08-31 23:45:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,0.0265721493678716,0.6698674703758454,14.913997439999997,0.0,1.9082768056949164,0.008572201074176,5.59274904,0.0,,,112.26666768391927,134.69026317068835
2024-09-01 00:00:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,0.0265721493678716,0.6698674703758454,14.913997439999997,0.0,1.9251395404065132,0.008572201074176,5.59274904,0.0,,,6.400000095367432,28.84045831684812
2024-09-01 00:15:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,0.0265721493678716,0.6698674703758454,14.913997439999997,0.0,1.9131430028447791,0.008572201074176,5.59274904,0.0,,,6.400000095367432,28.828461779286386
2024-09-01 00:30:00-04:00,0.0,0.0,0.0,0.0114597982062746,0.0710390915890756,0.08249888979535021,0.0265721493678716,0.6698674703758454,14.913997439999997,0.0,1.8987215501907955,0.008572201074176,5.59274904,0.0,,,59.33333237965902,81.74737261092399
