date,temperature_2m,HDD,CDD
2024-09-04 09:00:00-04:00,60.7919,4.208099365234375,0.0
2024-09-04 10:00:00-04:00,66.4619,0.0,1.4618988037109375
2024-09-04 11:00:00-04:00,71.2319,0.0,6.231903076171875
2024-09-04 12:00:00-04:00,74.0219,0.0,9.021896362304688
2024-09-04 13:00:00-04:00,75.0119,0.0,10.01190185546875
2024-09-04 14:00:00-04:00,76.6319,0.0,11.63189697265625
2024-09-04 15:00:00-04:00,78.2519,0.0,13.251899719238281
2024-09-04 16:00:00-04:00,78.7019,0.0,13.701896667480469
2024-09-04 17:00:00-04:00,78.2519,0.0,13.251899719238281
2024-09-04 18:00:00-04:00,75.2819,0.0,10.281898498535156
2024-09-04 19:00:00-04:00,71.9519,0.0,6.951896667480469
2024-09-04 20:00:00-04:00,68.6219,0.0,3.6219024658203125
2024-09-04 21:00:00-04:00,64.5719,0.4281005859375,0.0
2024-09-04 22:00:00-04:00,63.8519,1.148101806640625,0.0
2024-09-04 23:00:00-04:00,62.5919,2.408100128173828,0.0
2024-09-05 00:00:00-04:00,61.961903,3.038097381591797,0.0
2024-09-05 01:00:00-04:00,60.6119,4.388099670410156,0.0
2024-09-05 02:00:00-04:00,58.0919,6.908100128173828,0.0
2024-09-05 03:00:00-04:00,56.741898,8.258102416992188,0.0
2024-09-05 04:00:00-04:00,55.3919,9.608100891113281,0.0
2024-09-05 05:00:00-04:00,54.0419,10.958099365234375,0.0
2024-09-05 06:00:00-04:00,53.2319,11.76810073852539,0.0
2024-09-05 07:00:00-04:00,53.0519,11.948101043701172,0.0
2024-09-05 08:00:00-04:00,57.911903,7.088096618652344,0.0
2024-09-05 09:00:00-04:00,62.951897,2.0481033325195312,0.0
2024-09-05 10:00:00-04:00,69.3419,0.0,4.3419036865234375
2024-09-05 11:00:00-04:00,74.2019,0.0,9.201896667480469
2024-09-05 12:00:00-04:00,77.0819,0.0,12.081901550292969
2024-09-05 13:00:00-04:00,78.1619,0.0,13.161903381347656
2024-09-05 14:00:00-04:00,79.4219,0.0,14.421897888183594
2024-09-05 15:00:00-04:00,79.4219,0.0,14.421897888183594
2024-09-05 16:00:00-04:00,79.7819,0.0,14.781898498535156
2024-09-05 17:00:00-04:00,79.4219,0.0,14.421897888183594
2024-09-05 18:00:00-04:00,75.4619,0.0,10.461898803710938
2024-09-05 19:00:00-04:00,72.9419,0.0,7.941902160644531
2024-09-05 20:00:00-04:00,70.3319,0.0,5.331901550292969
2024-09-05 21:00:00-04:00,66.7319,0.0,1.731903076171875
2024-09-05 22:00:00-04:00,65.3819,0.0,0.38189697265625
2024-09-05 23:00:00-04:00,64.7519,0.24810028076171875,0.0
2024-09-06 00:00:00-04:00,63.4919,1.5080986022949219,0.0
2024-09-06 01:00:00-04:00,62.6819,2.3180999755859375,0.0
2024-09-06 02:00:00-04:00,61.8719,3.128101348876953,0.0
2024-09-06 03:00:00-04:00,60.8819,4.118099212646484,0.0
2024-09-06 04:00:00-04:00,60.2519,4.748100280761719,0.0
2024-09-06 05:00:00-04:00,58.901897,6.098102569580078,0.0
2024-09-06 06:00:00-04:00,57.5519,7.448101043701172,0.0
2024-09-06 07:00:00-04:00,56.651897,8.348102569580078,0.0
2024-09-06 08:00:00-04:00,61.0619,3.938098907470703,0.0
2024-09-06 09:00:00-04:00,64.5719,0.4281005859375,0.0
2024-09-06 10:00:00-04:00,68.2619,0.0,3.26190185546875
2024-09-06 11:00:00-04:00,70.9619,0.0,5.9618988037109375
2024-09-06 12:00:00-04:00,73.1219,0.0,8.121902465820312
2024-09-06 13:00:00-04:00,75.6419,0.0,10.641899108886719
2024-09-06 14:00:00-04:00,77.1719,0.0,12.171897888183594
2024-09-06 15:00:00-04:00,77.7119,0.0,12.711898803710938
2024-09-06 16:00:00-04:00,77.9819,0.0,12.981903076171875
2024-09-06 17:00:00-04:00,77.5319,0.0,12.531898498535156
2024-09-06 18:00:00-04:00,75.551895,0.0,10.551895141601562
2024-09-06 19:00:00-04:00,72.7619,0.0,7.76190185546875
2024-09-06 20:00:00-04:00,69.7019,0.0,4.701896667480469
2024-09-06 21:00:00-04:00,68.0819,0.0,3.0819015502929688
2024-09-06 22:00:00-04:00,66.0119,0.0,1.01190185546875
2024-09-06 23:00:00-04:00,64.9319,0.0680999755859375,0.0
2024-09-07 00:00:00-04:00,63.7619,1.23809814453125,0.0
2024-09-07 01:00:00-04:00,63.2219,1.7780990600585938,0.0
2024-09-07 02:00:00-04:00,62.2319,2.7681007385253906,0.0
2024-09-07 03:00:00-04:00,60.8819,4.118099212646484,0.0
2024-09-07 04:00:00-04:00,60.4319,4.5680999755859375,0.0
2024-09-07 05:00:00-04:00,59.9819,5.018100738525391,0.0
2024-09-07 06:00:00-04:00,59.3519,5.648101806640625,0.0
2024-09-07 07:00:00-04:00,59.171898,5.828102111816406,0.0
2024-09-07 08:00:00-04:00,64.6619,0.33809661865234375,0.0
2024-09-07 09:00:00-04:00,67.9919,0.0,2.9918975830078125
2024-09-07 10:00:00-04:00,70.3319,0.0,5.331901550292969
2024-09-07 11:00:00-04:00,71.7719,0.0,6.7718963623046875
2024-09-07 12:00:00-04:00,73.0319,0.0,8.031898498535156
2024-09-07 13:00:00-04:00,74.3819,0.0,9.38189697265625
2024-09-07 14:00:00-04:00,75.2819,0.0,10.281898498535156
2024-09-07 15:00:00-04:00,74.1119,0.0,9.111900329589844
2024-09-07 16:00:00-04:00,65.8319,0.0,0.8319015502929688
