time,Boiler 1 MBtu,Boiler 2 MBtu,Total Boiler NG Consumption (MBtu),Pump 4a kW (Correlated),Pump 4b kW (Correlated),Heating System kW,AHU 19 Total kW (Correlated),HRU Total kW (Correlated),Pump 1a kW (Formula Based),Pump 1b kW (Formula Based),Pump 2a kW (Correlated),Pump 2b kW (Correlated),Pump 3a kW (Formula Based),Pump 3b kW (Formula Based),Tower Fan 1 kW (Correlated),Tower Fan 2 kW (Correlated),Chiller kW,Total CHW kW
2024-09-24 08:00:00-04:00,155.42900531511012,0.0,155.42900531511012,5.059629380143743,0.284156368,5.343785748143743,7.775285881988454,19.033795307160872,59.65598975999999,0.0,7.732468371947707,0.034288804,22.37099616,0.0,0.08480462905929423,0.09488815587802839,389.16666666666663,479.1401025475517
2024-09-24 09:00:00-04:00,62.17160212604404,0.0,62.17160212604404,4.509942090728501,0.284156368,4.7940984587285005,7.786572451884909,19.329934236310216,59.65598975999999,0.0,7.793061410670558,0.034288804,22.37099616,0.0,0.10089052899105817,0.1128867179505819,341.7000020345052,431.7681154161174
2024-09-24 10:00:00-04:00,0.0,0.0,0.0,4.505312091163701,0.284156368,4.7894684591637,7.917717505575882,19.308261564390182,59.65598975999999,0.0,7.823759801740005,0.034288804,22.37099616,0.0,0.10436850773623868,0.11677823888492161,397.93333943684894,488.0395207092101
2024-09-24 11:00:00-04:00,62.17160212604404,0.0,62.17160212604404,5.1320985753113355,0.284156368,5.416254943311335,8.022733501437775,19.212994736733968,59.65598975999999,0.0,7.784428671789998,0.034288804,22.37099616,0.0,0.14431660079851721,0.16147628100327266,451.3000051180521,541.451501395644
2024-09-24 12:00:00-04:00,0.0,0.0,0.0,4.25112894634195,0.284156368,4.535285314341951,8.089940258456446,19.086528426846815,59.65598975999999,0.0,7.812799469083797,0.034288804,22.37099616,0.0,0.24332283412563305,0.2722546548379285,620.5333302815756,710.9229819636229
2024-09-24 13:00:00-04:00,62.17160212604404,0.0,62.17160212604404,5.264129070420344,0.284156368,5.5482854384203435,8.155287103340687,19.061885977953683,59.65598975999999,0.0,7.9192721975221065,0.034288804,22.37099616,0.0,0.27949415563256624,0.31272685584318716,472.933339436849,563.5061073698469
2024-09-24 14:00:00-04:00,108.80030372057706,0.0,108.80030372057706,4.404805573343154,0.284156368,4.688961941343154,8.02942600091995,19.037648784034246,59.65598975999999,0.0,7.945900108329816,0.034288804,22.37099616,0.0,0.3204127548602246,0.3585108002444992,686.4666748046875,777.152773192122
2024-09-24 15:00:00-04:00,0.0,0.0,0.0,4.744655316420056,0.284156368,5.028811684420056,7.954806930621985,19.130817730889024,59.65598975999999,0.0,8.064379404042448,0.034288804,22.37099616,0.0,0.2666067480628916,0.2983070965458502,578.5333353678386,669.2239033404896
2024-09-24 16:00:00-04:00,124.34320425208809,0.0,124.34320425208809,5.313031697691065,0.284156368,5.597188065691065,7.943244996164203,19.164615454971237,59.65598975999999,0.0,7.997268182723065,0.034288804,22.37099616,0.0,0.23494200060028422,0.26287731486530647,472.8000030517578,563.3563652739465
2024-09-24 17:00:00-04:00,0.0,0.0,0.0,4.2373048379289955,0.284156368,4.521461205928995,7.943244996164203,19.12523353227835,59.65598975999999,0.0,7.872526950039539,0.034288804,22.37099616,0.0,0.24346291855723837,0.27241139573202466,573.6333312988281,664.083007287157
2024-09-24 18:00:00-04:00,62.171602126044036,0.0,62.171602126044036,4.943858433176681,0.284156368,5.2280148011766805,7.88255101521913,19.085503613382407,59.65598975999999,0.0,7.656166034310512,0.034288804,22.37099616,0.0,0.10055565333217889,0.11251202456329902,407.16666666666663,497.0971751028726
