,Boiler 1 MBtu,Boiler 2 MBtu,Total Boiler NG Consumption (MBtu),Pump 4a kW (Correlated),Pump 4b kW (Correlated),Heating System kW,AHU 19 Total kW (Correlated),HRU Total kW (Correlated),Pump 1a kW (Formula Based),Pump 1b kW (Formula Based),Pump 2a kW (Correlated),Pump 2b kW (Correlated),Pump 3a kW (Formula Based),Pump 3b kW (Formula Based),Tower Fan 1 kW (Correlated),Tower Fan 2 kW (Correlated),Chiller kW,Total CHW kW,temperature_2m,weather_code,HDD,CDD,Boiler NG Consumption (MBtu/hr)/HDD,Heating System kW/HDD,AHU 19 Total kW/DD,HRU Total kW/DD,Total CHW kW/CDD
2024-08-27 00:00:00+00:00,0.0,965.3722409277964,965.3722409277964,0.0114597982062746,1.358529365371092,1.3699891635773662,1.4325979558284159,4.057333263013373,0.0,11.18549808,0.0335063903511633,1.851468047140614,0.0,5.59274904,,,180.80000050862628,199.46322206611808,,,,,,,,,
2024-08-27 01:00:00+00:00,0.0,953.6943509165731,953.6943509165731,0.0114597982062746,1.3998219899492983,1.411281788155573,1.3768421710754621,0.9521562864289727,0.0,11.18549808,0.0335063903511633,1.8431071859403367,0.0,5.59274904,,,76.79166646798451,95.446527164276,,,,,,,,,
2024-08-27 02:00:00+00:00,77.71450265755506,945.9090909090909,1023.6235935666459,0.0114597982062746,1.3168069276308298,1.3282667258371044,1.3597502653077043,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.928802322003128,0.0,5.59274904,,,88.55833490689596,107.29889073925025,,,,,,,,,
2024-08-27 03:00:00+00:00,151.54328018223234,326.9809203142537,478.524200496486,0.0114597982062746,1.39993790050987,1.4113976987161445,0.7978671407413314,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.8880418009658035,0.0,5.59274904,,,61.83333365122478,80.53312896254174,,,,,,,,,
2024-08-27 04:00:00+00:00,0.0,576.109240553685,576.109240553685,0.0114597982062746,1.4301884544902599,1.4416482526965342,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.8115501236647538,0.0,5.59274904,,,19.966667016347248,38.58997065036317,64.4819,1.0,0.518096923828125,0.0,1111.971938178898,2.7825840810720406,0.05128798907265221,1.292938520897432,inf
2024-08-27 05:00:00+00:00,0.0,856.3786008230453,856.3786008230453,0.0114597982062746,1.456343406404882,1.4678032046111564,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.8223067571012719,0.0,5.59274904,,,33.44166700045268,52.075727267905116,63.941902,1.0,1.0580978393554688,0.0,809.3567238968194,1.3872093392660703,0.02511313073284206,0.6330865119088509,inf
2024-08-27 06:00:00+00:00,0.0,934.2312008978676,934.2312008978676,0.0114597982062746,1.475508328419956,1.4869681266262305,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.8337946146324082,0.0,5.59274904,,,32.79166726271311,51.43721538769669,63.401897,2.0,1.5981025695800781,0.0,584.5877596851301,0.9304585043104902,0.01662731158417058,0.41916425336320035,inf
2024-08-27 07:00:00+00:00,0.0,934.2312008978676,934.2312008978676,0.0114597982062746,1.457218380953304,1.4686781791595784,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.8297089406544191,0.0,5.59274904,,,19.833333174387615,38.4747956253932,62.1419,0.0,2.8581008911132812,0.0,326.87131647545436,0.5138650576423501,0.009297134838903912,0.2343750258987254,inf
2024-08-27 08:00:00+00:00,0.0,934.2312008978676,934.2312008978676,0.0114597982062746,1.3854368815802849,1.3968966797865594,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.9458709706578134,0.0,5.59274904,,,61.649999817212425,80.40762429822139,61.5119,0.0,3.48809814453125,0.0,267.83397776882646,0.40047516494817037,0.007617947737374378,0.19204375640234914,inf
2024-08-27 09:00:00+00:00,252.57213363705392,883.6270108492331,1136.199144486287,0.0114597982062746,1.3708358934107594,1.382295691617034,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,2.0126959600871053,0.0,5.59274904,,,115.90833461284637,134.73278408328463,61.0619,1.0,3.938098907470703,0.0,288.51462880500026,0.351005834057335,0.006747456067561777,0.17009919916056063,inf
2024-08-27 10:00:00+00:00,34.97152619589978,330.8735503179948,365.8450765138946,0.0114597982062746,1.4057670707216436,1.417226868927918,0.0265721493678716,0.6698674703758454,0.0,11.18549808,0.0335063903511633,1.875851115937408,0.0,5.59274904,,,100.81666819254556,119.50427281883415,60.0719,0.0,4.9281005859375,0.0,74.23652787401413,0.2875807512882392,0.005391965708592904,0.13592812457751666,inf
2024-08-27 11:00:00+00:00,0.0,965.3722409277965,965.3722409277965,0.0114597982062746,1.4548423050075716,1.4663021032138461,1.148478700922192,3.7750444469602455,0.0,11.18549808,0.0335063903511633,1.8256130168998719,0.0,5.59274904,,,128.9333330790202,147.5706996062712,60.4319,0.0,4.5680999755859375,0.0,211.32905279814304,0.32098730567423006,0.25141277709774285,0.8263926943665525,inf
2024-08-27 12:00:00+00:00,330.28663629460897,653.9618406285073,984.2484769231163,0.0114597982062746,1.344485143454905,1.3559449416611795,1.2741257175948868,4.057333263013373,0.0,11.18549808,0.0335063903511633,1.9041263062883051,0.0,5.59274904,,,132.82500127951306,151.54088109615253,64.301895,0.0,0.6981048583984375,0.0,1409.8863015810223,1.9423227404145715,1.8251208285785776,5.81192526337882,inf
